geo country;time;powertrain;relative sales
Greece;2004;BEV;0
Greece;2005;BEV;0
Greece;2006;BEV;0
Greece;2007;BEV;0
Greece;2008;BEV;0
Greece;2009;BEV;0
Greece;2010;BEV;0
Greece;2011;BEV;0
Greece;2012;BEV;0
Greece;2013;BEV;9,99E-05
Greece;2014;BEV;0,0006
Greece;2015;BEV;0,000500001
Greece;2016;BEV;0,000500001
Greece;2017;BEV;0,000500001
Greece;2018;BEV;0,0006
Greece;2019;BEV;0,001700001
Greece;2020;BEV;0,0084
Greece;2021;BEV;0,021699999
Greece;2022;BEV;0,028400001
Greece;2023;BEV;0,048200001
Hungary;2000;BEV;0
Hungary;2001;BEV;0
Hungary;2002;BEV;0
Hungary;2003;BEV;0
Hungary;2004;BEV;0
Hungary;2005;BEV;0
Hungary;2006;BEV;0
Hungary;2007;BEV;0
Hungary;2008;BEV;0
Hungary;2009;BEV;0
Hungary;2010;BEV;0
Hungary;2011;BEV;0,0002001
Hungary;2012;BEV;0,0002001
Hungary;2013;BEV;0,0002001
Hungary;2014;BEV;0,000399333
Hungary;2015;BEV;0,002499333
Hungary;2016;BEV;0,0024
Hungary;2017;BEV;0,006200001
Hungary;2018;BEV;0,009399999
Hungary;2019;BEV;0,011600001
Hungary;2020;BEV;0,023199999
Hungary;2021;BEV;0,0354
Hungary;2022;BEV;0,042200001
Hungary;2023;BEV;0,056600001
Ireland;2000;BEV;0
Ireland;2001;BEV;0,0002
Ireland;2002;BEV;0,0001
Ireland;2003;BEV;0,0001
Ireland;2004;BEV;0,0002
Ireland;2005;BEV;0
Ireland;2006;BEV;0
Ireland;2007;BEV;0
Ireland;2008;BEV;0
Ireland;2009;BEV;0
Ireland;2010;BEV;0,0002001
Ireland;2011;BEV;0,000500334
Ireland;2012;BEV;0,001700001
Ireland;2013;BEV;0,002199999
Ireland;2014;BEV;0,0027
Ireland;2015;BEV;0,003800001
Ireland;2016;BEV;0,002799999
Ireland;2017;BEV;0,004700001
Ireland;2018;BEV;0,009699999
Ireland;2019;BEV;0,027399999
Ireland;2020;BEV;0,044600001
Ireland;2021;BEV;0,083199999
Ireland;2022;BEV;0,1491
Ireland;2023;BEV;0,187700001
Italy;2000;BEV;0
Italy;2001;BEV;0
Italy;2002;BEV;0
Italy;2003;BEV;0
Italy;2004;BEV;0
Italy;2005;BEV;0
Italy;2006;BEV;0
Italy;2007;BEV;0
Italy;2008;BEV;0
Italy;2009;BEV;0
Italy;2010;BEV;0
Italy;2011;BEV;9,99E-05
Italy;2012;BEV;0,000399666
Italy;2013;BEV;0,0006
Italy;2014;BEV;0,000800334
Italy;2015;BEV;0,000999666
Italy;2016;BEV;0,000800334
Italy;2017;BEV;0,001100334
Italy;2018;BEV;0,0027
Italy;2019;BEV;0,005499999
Italy;2020;BEV;0,023499999
Italy;2021;BEV;0,0462
