geo country;stock_year;powertrain;share
Greece;2009;BEV;0
Greece;2010;BEV;0
Greece;2011;BEV;0
Greece;2012;BEV;0
Greece;2013;BEV;0
Greece;2014;BEV;0
Greece;2015;BEV;0
Greece;2016;BEV;0
Greece;2017;BEV;0
Greece;2018;BEV;0
Greece;2019;BEV;0,0001
Greece;2020;BEV;0,0002
Greece;2021;BEV;0,0006
Greece;2022;BEV;0,0011
Greece;2023;BEV;0,0021
Greece;2008;G-PHEV;0
Greece;2009;G-PHEV;0
Greece;2010;G-PHEV;0
Greece;2011;G-PHEV;0
Greece;2012;G-PHEV;0
Greece;2013;G-PHEV;0
Greece;2014;G-PHEV;0
Greece;2015;G-PHEV;0
Greece;2016;G-PHEV;0
Greece;2017;G-PHEV;0
Greece;2018;G-PHEV;0,0001
Greece;2019;G-PHEV;0,0001
Greece;2020;G-PHEV;0,0004
Greece;2021;G-PHEV;0,0012
Greece;2022;G-PHEV;0,0022
Greece;2023;G-PHEV;0,0036
Hungary;2008;BEV;0
Hungary;2009;BEV;0
Hungary;2010;BEV;0
Hungary;2011;BEV;0
Hungary;2012;BEV;0
Hungary;2013;BEV;0
Hungary;2014;BEV;0,0001
Hungary;2015;BEV;0,0001
Hungary;2016;BEV;0,0002
Hungary;2017;BEV;0,0006
Hungary;2018;BEV;0,0011
Hungary;2019;BEV;0,0017
Hungary;2020;BEV;0,0028
Hungary;2021;BEV;0,0047
Hungary;2022;BEV;0,0079
Hungary;2023;BEV;0,0107
Hungary;2008;G-PHEV;0
Hungary;2009;G-PHEV;0
Hungary;2010;G-PHEV;0
Hungary;2011;G-PHEV;0
Hungary;2012;G-PHEV;0
Hungary;2013;G-PHEV;0
Hungary;2014;G-PHEV;0
Hungary;2015;G-PHEV;0
Hungary;2016;G-PHEV;0,0001
Hungary;2017;G-PHEV;0,0002
Hungary;2018;G-PHEV;0,0003
Hungary;2019;G-PHEV;0,0006
Hungary;2020;G-PHEV;0,0012
Hungary;2021;G-PHEV;0,0024
Hungary;2022;G-PHEV;0,0035
Hungary;2023;G-PHEV;0,0046
Iceland;2008;BEV;0
Iceland;2009;BEV;0
Iceland;2010;BEV;0
Iceland;2011;BEV;0
Iceland;2012;BEV;0,0001
Iceland;2013;BEV;0,0005
