country label;Country;stock year;Source-Institution;Source-Title;Source-Link
FRA;France;2021;SDES;Données sur les immatriculations neuves et d’occasion par genre de véhicule (1990-2021);https://www.statistiques.developpement-durable.gouv.fr/immatriculations-des-voitures-particulieres-en-2021-le-marche-du-neuf-en-panne-mais-fort-dynamisme?rubrique=58&dossier=1347
GRC;Greece;2020;Statistics Greece;Motor Vehicles, both new and used, put into circulation for the first time in Greece (January 1985 - December 2020);https://www.statistics.gr/en/statistics/-/publication/SME24/2018-M03
HRV;Croatia;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
HUN;Hungary;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
IRL;Ireland;2021;Central Statistics Office;Vehicles licensed for the first time-tem02;https://data.cso.ie/
ISL;Iceland;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
ITA;Italy;2021;ANFIA;Automobile in cifre: Autoveicoli / motor vehicles: spreadsheet: Dati annuali / annual data;https://www.anfia.it/it/attivita/studi-e-statistiche/automobile-in-cifre/statistiche-italia/immatricolazioni/autoveicoli-motor-vehicles
LIE;Liechtenstein;2021;LLV;Mobilität und verkehr: Fahrzeug-erstzulassungen: Jahr - personenwagen;https://etab.llv.li/PXWeb/pxweb/de/eTab/eTab__Mobilit%C3%A4t%20und%20Verkehr__Fahrzeug-Erstzulassungen/
LTU;Lithuania;2022;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
LUX;Luxembourg;2021;Statistics Luxembourg;Enterprises-transport-road transport-vehiclesnumber of new road vehicles registration by type of vehicle;https://lustat.statec.lu/?lc=en&fs[0]=Topics%2C1%7CEnterprises%23D%23%7CTransport%23D6%23&fs[1]=Topics%2C2%7CEnterprises%23D%23%7CTransport%23D6%23%7CRoad%20transport%23D61%23&fs[2]=Topics%2C3%7CEnterprises%23D%23%7CTransport%23D6%23%7CRoad%20transport%23D61%23%7CVehicules%23D612%23&pg=0&fc=Topics
LVA;Latvia;2021;Official Statistics of Latvia;Stock and new registrations of vehicles by type at the end of quarter 2002q1 - 2024q1;https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__NOZ__TR__TRC/TRC010c/
MLT;Malta;2020;National Statistics Office;Newly licensed ’new’ motor vehicles, 2023;https://nso.gov.mt/en/publicatons/Pages/Publications-by-Date.aspx
NLD;Netherlands;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
NOR;Norway;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
POL;Poland;2021;PZPM;registrations-passenger cars-light commercial vehicles;https://www.pzpm.org.pl/en/Automotive-market/FIRST-REGISTRATION-PZPM-CEP/Registrations-Passenger-Cars-Light-Commercial-Vehicles
PRT;Portugal;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
