geo country;vehicle age;survival rate
Finland;3;1,026348863
Finland;4;1,065022626
Finland;5;1,141975983
Finland;6;1,152613445
Finland;7;1,158704922
Finland;8;1,112513649
Finland;9;1,103866602
Finland;10;1,075900441
Finland;11;1,074038835
Finland;12;1,04723671
Finland;13;1,043069755
Finland;14;0,969771388
Finland;15;0,993153302
Finland;16;0,914502402
Finland;17;0,833154474
Finland;18;0,766716675
Finland;19;0,689318544
Finland;20;0,614599176
Finland;21;0,511331652
Finland;22;0,425584868
Finland;23;0,361609108
Finland;24;0,30298765
Finland;25;0,246337566
Finland;26;0,197725138
Finland;27;0,183815246
Finland;28;0,161708903
Finland;29;0,151658428
Finland;30;0,136461114
Finland;31;0,117219008
Finland;32;0,102394258
Finland;33;0,088217823
Finland;34;0,083155159
Finland;35;0,074119077
Finland;36;0,066027392
Finland;37;0,055638315
Finland;38;0,044647075
Finland;39;0,035280131
Finland;40;0,024184222
Finland;41;0,01809502
Finland;42;0,015105682
Finland;43;0,014606313
Finland;44;0,012949355
Finland;45;0,012414222
France;1;1,594780581
France;2;1,59673791
France;3;1,198620941
France;4;1,21788261
France;5;0,894629469
France;6;0,937476738
France;7;0,986304102
France;8;1,053538031
France;9;1,058876623
France;10;1,020714772
France;11;0,877160461
France;12;0,85761135
France;13;0,83537744
France;14;0,924497057
France;15;0,561535507
France;16;0,579498028
France;17;0,560654013
France;18;0,57571089
France;19;0,576989677
France;20;0,294979397
France;21;0,280632798
France;22;0,296525842
France;23;0,294519166
France;24;0,325564443
France;25;0,369375755
France;26;0,272326674
France;27;0
France;28;0
France;29;0
France;30;0
France;31;0
France;32;0
France;33;0
France;34;0
France;35;0
France;36;0
France;37;0
France;38;0
France;39;0
France;40;0
France;41;0
France;42;0
France;43;0
France;44;0
France;45;0
Greece;1;0,999849241
Greece;2;0,998158008
Greece;3;0,996796423
Greece;4;1,015613459
Greece;5;1,05668232
Greece;6;1,104613428
Greece;7;1,119672363
Greece;8;1,196048347
Greece;9;1,280210638
Greece;10;1,24776756
Greece;11;1,111851736
Greece;12;1,062159388
Greece;13;1,1447504
Greece;14;1,19121059
Greece;15;1,187161657
Greece;16;1,137000714
Greece;17;1,074451527
Greece;18;1,026465073
Greece;19;0,969701615
Greece;20;0,928073383
Greece;21;0,910035286
Greece;22;0,399768707
Greece;23;0,580788798
Greece;24;0,64536629
Greece;25;0,764078301
Greece;26;0,816069519
Greece;27;0,928946316
Greece;28;0,707554013
Greece;29;0,525460292
Greece;30;0,623713578
Greece;31;0,906172658
Greece;32;1,220955105
Greece;33;1,813351021
Greece;34;2,070626324
Greece;35;1,604651198
Greece;36;1,139470802
Greece;37;0
Greece;38;0
Greece;39;0
Greece;40;0
Greece;41;0
Greece;42;0
Greece;43;0
Greece;44;0
Greece;45;0
Croatia;1;1,577954912
Croatia;2;1,699873905
Croatia;3;0,974582128
Croatia;4;1,021606069
Croatia;5;1,208183143
Croatia;6;1,527190178
Croatia;7;1,88599328
Croatia;8;1,983341676
Croatia;9;2,422784332
Croatia;10;2,14790338
Croatia;11;1,620708116
Croatia;12;1,745620287
Croatia;13;1,499582573
Croatia;14;0,763136577
Croatia;15;1,555007272
Croatia;16;1,555402254
Croatia;17;1,555977131
Croatia;18;1,55784842
Croatia;19;1,557956517
Croatia;20;1,557920483
Croatia;21;1,561568332
Croatia;22;1,491315562
Croatia;23;1,481540746
Croatia;24;1,478483944
Croatia;25;1,479718152
Croatia;26;1,464182462
Croatia;27;1,346836593
Croatia;28;0
Croatia;29;0
Croatia;30;0
Croatia;31;0
Croatia;32;0
Croatia;33;0
Croatia;34;0
Croatia;35;0
Croatia;36;0
Croatia;37;0
Croatia;38;0
Croatia;39;0
Croatia;40;0
Croatia;41;0
Croatia;42;0
Croatia;43;0
Croatia;44;0
Croatia;45;0
Hungary;1;0,533661417
Hungary;2;0,75773836
Hungary;3;0,821026433
Hungary;4;0,91261411
Hungary;5;1,01264353
Hungary;6;1,141458062
Hungary;7;1,320100027
Hungary;8;1,447745992
Hungary;9;1,714906423
Hungary;10;1,936087604
Hungary;11;2,446658981
Hungary;12;2,383483539
Hungary;13;1,806396581
Hungary;14;1,34718871
Hungary;15;1,392227856
Hungary;16;1,413011604
Hungary;17;1,32497788
Hungary;18;1,31218997
Hungary;19;1,260191463
Hungary;20;1,263812921
Hungary;21;1,229740587
Hungary;22;1,196043085
Hungary;23;1,072861521
Hungary;24;0,61145034
Hungary;25;0,406384266
Hungary;26;0,356457929
Hungary;27;0,228585002
Hungary;28;0,230006995
Hungary;29;0,166788148
Hungary;30;0,111190683
Hungary;31;0,080285015
Hungary;32;0,110449663
Hungary;33;0,076178018
Hungary;34;0,047733547
Hungary;35;0,044202203
Hungary;36;0,038419664
Hungary;37;0,032993065
Hungary;38;0,026294534
Hungary;39;0,021528975
Hungary;40;0,018133405
Hungary;41;0,014974318
Hungary;42;0,013809118
Hungary;43;0,011033566
Hungary;44;0,008755627
Hungary;45;0,007175573
Ireland;1;0,889183431
Ireland;2;1,826139558
Ireland;3;1,884709413
Ireland;4;1,724110039
Ireland;5;1,616521705
Ireland;6;1,394106996
Ireland;7;1,266427215
Ireland;8;1,386764977
Ireland;9;1,424272579
Ireland;10;1,243272661
Ireland;11;1,174274145
Ireland;12;1,117375481
Ireland;13;1,078722075
Ireland;14;0,794927289
Ireland;15;0,59403388
Ireland;16;0,448304121
Ireland;17;0,313838937
Ireland;18;0,21540415
Ireland;19;0,132503916
Ireland;20;0,080134233
Ireland;21;0,051109951
Ireland;22;0,037497392
Ireland;23;0,049594298
Ireland;24;0,022614734
Ireland;25;0
Ireland;26;0
Ireland;27;0
Ireland;28;0
Ireland;29;0
Ireland;30;0
Ireland;31;0
Ireland;32;0
Ireland;33;0
Ireland;34;0
Ireland;35;0
Ireland;36;0
Ireland;37;0
Ireland;38;0
Ireland;39;0
Ireland;40;0
Ireland;41;0
Ireland;42;0
Ireland;43;0
Ireland;44;0
Ireland;45;0
Iceland;1;1,093061416
Iceland;2;1,105667627
Iceland;3;1,071166482
Iceland;4;1,087672452
Iceland;5;1,116253986
Iceland;6;1,111893033
Iceland;7;1,057467162
Iceland;8;1,080147059
Iceland;9;1,074374484
Iceland;10;1,042244641
Iceland;11;1,024017467
Iceland;12;0,99742434
Iceland;13;0,903928064
Iceland;14;0,848887413
Iceland;15;0,804039644
Iceland;16;0,733376146
Iceland;17;0,650830565
Iceland;18;0,578877005
Iceland;19;0,467779464
Iceland;20;0,38009506
Iceland;21;0,286818496
Iceland;22;0,193013487
Iceland;23;0,143395981
Iceland;24;0,113661443
Iceland;25;0,100532229
Iceland;26;0,091768217
Iceland;27;0,087488386
Iceland;28;0,049856184
Iceland;29;0,04377724
Iceland;30;0,049119374
Iceland;31;0,05234406
Iceland;32;0,039955938
Iceland;33;0,02431151
Iceland;34;0,033672108
Iceland;35;0,036431769
Iceland;36;0,025810513
Iceland;37;0,01478665
Iceland;38;0,01279045
Iceland;39;0,010681916
Iceland;40;0,010945709
Iceland;41;0,011414007
Iceland;42;0,010638298
Iceland;43;0,011997736
Iceland;44;0,011647825
Iceland;45;0,010692113
Italy;1;1,097225356
Italy;2;1,074197365
Italy;3;1,059306058
Italy;4;1,033925222
Italy;5;1,013475543
Italy;6;1,00679305
