geo country;vehicle age;number of registered vehicles
Spain;83;90
Spain;84;29
Spain;85;20
Spain;86;137
Spain;87;307
Spain;88;260
Spain;89;262
Spain;90;164
Spain;91;99
Spain;92;249
Spain;93;341
Spain;94;262
Spain;95;188
Spain;96;186
Spain;97;191
Spain;98;156
Spain;99;100
Spain;100;43
Spain;101;15
Spain;102;17
Spain;103;14
Spain;104;4
Spain;105;11
Spain;106;8
Spain;107;4
Spain;108;11
Spain;109;6
Spain;110;7
Spain;111;9
Spain;112;3
Spain;113;7
Spain;114;4
Spain;115;10
Spain;116;2
Spain;117;2
Spain;118;1
Spain;119;2
Spain;120;1
Spain;121;0
France;1;2604563,75
France;2;2604563,75
France;3;2604563,75
France;4;2604563,75
France;5;1860395,4
France;6;1860395,4
France;7;1860395,4
France;8;1860395,4
France;9;1860395,4
France;10;1895480,6
France;11;1895480,6
France;12;1895480,6
France;13;1895480,6
France;14;1895480,6
France;15;1159314,2
France;16;1159314,2
France;17;1159314,2
France;18;1159314,2
France;19;1159314,2
France;20;632751,75
France;21;632751,75
France;22;632751,75
France;23;632751,75
France;24;632751,75
France;25;632751,75
France;26;580625,25
France;27;0
France;28;0
France;29;0
France;30;0
France;31;0
France;32;0
France;33;0
France;34;0
France;35;0
France;36;0
France;37;0
France;38;0
France;39;0
France;40;0
France;41;0
France;42;0
France;43;0
France;44;0
France;45;0
France;46;0
France;47;0
France;48;0
France;49;0
France;50;0
France;51;0
France;52;0
France;53;0
France;54;0
France;55;0
France;56;0
France;57;0
France;58;0
France;59;0
France;60;0
France;61;0
France;62;0
France;63;0
France;64;0
France;65;0
France;66;0
France;67;0
France;68;0
France;69;0
France;70;0
France;71;0
France;72;0
France;73;0
France;74;0
France;75;0
France;76;0
France;77;0
France;78;0
France;79;0
France;80;0
France;81;0
France;82;0
France;83;0
France;84;0
France;85;0
France;86;0
France;87;0
France;88;0
France;89;0
France;90;0
France;91;0
France;92;0
France;93;0
France;94;0
France;95;0
France;96;0
France;97;0
France;98;0
France;99;0
France;100;0
France;101;0
France;102;0
France;103;0
France;104;0
France;105;0
France;106;0
France;107;0
France;108;0
France;109;0
France;110;0
France;111;0
France;112;0
France;113;0
France;114;0
France;115;0
France;116;0
France;117;0
France;118;0
France;119;0
France;120;0
France;121;0
Hungary;1;65064
Hungary;2;97014
Hungary;3;129645
Hungary;4;124664
Hungary;5;117735
Hungary;6;110258
Hungary;7;101884
Hungary;8;98079
Hungary;9;96304
Hungary;10;102723
Hungary;11;110359
Hungary;12;103672
Hungary;13;109063
Hungary;14;206586
Hungary;15;239175
Hungary;16;257308
Hungary;17;268047
Hungary;18;278284
Hungary;19;259854
Hungary;20;216500
Hungary;21;180612
Hungary;22;160564
Hungary;23;138618
Hungary;24;99837
Hungary;25;66493
Hungary;26;58437
Hungary;27;37530
Hungary;28;37812
Hungary;29;27459
Hungary;30;18321
Hungary;31;13228
Hungary;32;18201
Hungary;33;12812
Hungary;34;8040
Hungary;35;7457
Hungary;36;6493
Hungary;37;5585
Hungary;38;4460
Hungary;39;3659
Hungary;40;3085
Hungary;41;2548
Hungary;42;2349
Hungary;43;1875
Hungary;44;1484
Hungary;45;1211
Hungary;46;801
Hungary;47;842
Hungary;48;1023
Hungary;49;824
Hungary;50;872
Hungary;51;1099
Hungary;52;909
Hungary;53;647
Hungary;54;402
Hungary;55;415
Hungary;56;340
Hungary;57;252
Hungary;58;190
Hungary;59;194
Hungary;60;135
Hungary;61;103
Hungary;62;107
Hungary;63;83
Hungary;64;66
Hungary;65;53
Hungary;66;47
Hungary;67;29
Hungary;68;25
Hungary;69;30
Hungary;70;19
Hungary;71;11
Hungary;72;16
Hungary;73;11
Hungary;74;10
Hungary;75;7
Hungary;76;4
Hungary;77;3
Hungary;78;4
Hungary;79;8
Hungary;80;10
Hungary;81;10
Hungary;82;4
Hungary;83;20
Hungary;84;19
Hungary;85;17
Hungary;86;13
Hungary;87;6
Hungary;88;4
Hungary;89;5
Hungary;90;3
Hungary;91;8
Hungary;92;4
Hungary;93;12
Hungary;94;7
Hungary;95;7
Hungary;96;6
Hungary;97;8
Hungary;98;1
Hungary;99;5
Hungary;100;3
Hungary;101;1
Hungary;102;0
Hungary;103;2
Hungary;104;1
Hungary;105;3
Hungary;106;0
Hungary;107;2
Hungary;108;1
Hungary;109;1
Hungary;110;1
Hungary;111;1
Hungary;112;0
Hungary;113;0
Hungary;114;0
Hungary;115;0
Hungary;116;0
Hungary;117;0
Hungary;118;1
Hungary;119;0
Hungary;120;1
Hungary;121;0
Italy;1;1600098
Italy;2;1484385
Italy;3;2030802
Italy;4;1975889
Italy;5;1998215
Italy;6;1838536
Italy;7;1565739
Italy;8;1322246
Italy;9;1234916
Italy;10;1282856
Italy;11;1573702
Italy;12;1720536
Italy;13;1831392
Italy;14;1713775
Italy;15;1910738
Italy;16;1667755
Italy;17;1455286
Italy;18;1339197
Italy;19;1148859
Italy;20;1003091
Italy;21;1003091
Italy;22;1003091
Italy;23;1003091
Italy;24;1003091
Italy;25;1003091
Italy;26;1003091
Italy;27;1003091
Italy;28;1003091
Italy;29;99982
Italy;30;0
Italy;31;0
Italy;32;0
Italy;33;0
Italy;34;0
Italy;35;0
Italy;36;0
Italy;37;0
Italy;38;0
Italy;39;0
Italy;40;0
Italy;41;0
Italy;42;0
Italy;43;0
Italy;44;0
Italy;45;0
Italy;46;0
Italy;47;0
Italy;48;0
Italy;49;0
Italy;50;0
Italy;51;0
Italy;52;0
Italy;53;0
Italy;54;0
Italy;55;0
Italy;56;0
Italy;57;0
Italy;58;0
Italy;59;0
Italy;60;0
Italy;61;0
Italy;62;0
Italy;63;0
Italy;64;0
Italy;65;0
Italy;66;0
Italy;67;0
Italy;68;0
Italy;69;0
Italy;70;0
Italy;71;0
Italy;72;0
Italy;73;0
Italy;74;0
Italy;75;0
Italy;76;0
Italy;77;0
Italy;78;0
Italy;79;0
Italy;80;0
Italy;81;0
Italy;82;0
Italy;83;0
Italy;84;0
Italy;85;0
Italy;86;0
Italy;87;0
Italy;88;0
Italy;89;0
Italy;90;0
Italy;91;0
Italy;92;0
Italy;93;0
Italy;94;0
Italy;95;0
Italy;96;0
Italy;97;0
Italy;98;0
Italy;99;0
Italy;100;0
Italy;101;0
Italy;102;0
Italy;103;0
Italy;104;0
Italy;105;0
Italy;106;0
Italy;107;0
Italy;108;0
Italy;109;0
Italy;110;0
Italy;111;0
Italy;112;0
Italy;113;0
Italy;114;0
Italy;115;0
Italy;116;0
Italy;117;0
Italy;118;0
Italy;119;0
Italy;120;0
Italy;121;0
Norway;1;177590
Norway;2;148447
Norway;3;145626
Norway;4;152119
Norway;5;164208
Norway;6;161117
Norway;7;163695
Norway;8;154275
Norway;9;155601
Norway;10;153068
Norway;11;154358
Norway;12;140216
Norway;13;107107
Norway;14;115127
Norway;15;126593
Norway;16;103035
Norway;17;87044
Norway;18;79852
Norway;19;50746
Norway;20;40305
Norway;21;31602
Norway;22;29078
Norway;23;20827
Norway;24;18962
Norway;25;13911
Norway;26;11326
Norway;27;7810
Norway;28;6449
Norway;29;4799
Norway;30;5049
Norway;31;5015
Norway;32;4657
Norway;33;3260
Norway;34;3411
Norway;35;4350
Norway;36;5388
Norway;37;4525
Norway;38;3071
Norway;39;3138
Norway;40;2775
Norway;41;2162
Norway;42;2087
Norway;43;2697
Norway;44;2808
Norway;45;2984
Norway;46;2453
Norway;47;2342
Norway;48;2581
Norway;49;3429
Norway;50;3069
Norway;51;2865
Norway;52;3244
Norway;53;4573
Norway;54;3682
Norway;55;3602
Norway;56;3400
Norway;57;3155
Norway;58;2325
Norway;59;1615
Norway;60;1358
Norway;61;1172
Norway;62;975
Norway;63;1279
Norway;64;1270
Norway;65;1521
Norway;66;1008
Norway;67;956
Norway;68;604
Norway;69;532
Norway;70;462
Norway;71;309
Norway;72;239
Norway;73;216
Norway;74;176
Norway;75;152
Norway;76;122
Norway;77;143
Norway;78;292
Norway;79;417
Norway;80;222
Norway;81;104
Norway;82;141
Norway;83;253
Norway;84;258
Norway;85;285
Norway;86;196
Norway;87;150
Norway;88;248
Norway;89;169
Norway;90;254
Norway;91;467
Norway;92;416
Norway;93;328
Norway;94;235
Norway;95;139
Norway;96;111
Norway;97;74
Norway;98;55
Norway;99;62
Norway;100;51
Norway;101;12
Norway;102;28
Norway;103;28
Norway;104;3
Norway;105;16
Norway;106;15
Norway;107;12
Norway;108;19
Norway;109;17
Norway;110;14
Norway;111;8
Norway;112;17
Norway;113;3
Norway;114;4
Norway;115;3
Norway;116;5
Norway;117;5
Norway;118;4
Norway;119;3
Norway;120;1
Norway;121;2
Poland;1;339633
Poland;2;383169
Poland;3;524438
Poland;4;528836
Poland;5;563456
Poland;6;527725
Poland;7;508045
Poland;8;500105
Poland;9;480538
Poland;10;559304
Poland;11;651668
Poland;12;681226
Poland;13;767333
Poland;14;976216
Poland;15;1066208
Poland;16;1048780
Poland;17;1060939
Poland;18;1099572
Poland;19;1034664
Poland;20;920464
Poland;21;833712
Poland;22;832025
Poland;23;839564
Poland;24;631585
Poland;25;441979
Poland;26;328981
Poland;27;237535
Poland;28;178829
Poland;29;130125
Poland;30;112719
Poland;31;97876
Poland;32;61204
Poland;33;40518
Poland;34;31248
Poland;35;22891
Poland;36;16114
Poland;37;11605
Poland;38;9702
Poland;39;9131
Poland;40;6989
Poland;41;6989
Poland;42;6989
Poland;43;6989
Poland;44;6989
Poland;45;6989
Poland;46;6989
Poland;47;6989
Poland;48;6989
Poland;49;6989
